sale_id,sale_date,product_id,quantity,price,status,city,customer_id
1,2025-08-29,35,3,2770,Отменен,Нижний Новгород,4337
2,2025-09-19,39,1,2332,Доставлен,Казань,4540
3,2025-08-28,28,3,2911,Отменен,Нижний Новгород,2633
4,2025-09-26,11,3,3409,Доставлен,Волгоград,2098
5,2025-09-30,13,1,1993,Доставлен,Красноярск,5920
6,2025-11-28,37,3,2926,Доставлен,Новосибирск,8304
7,2025-11-07,13,3,1993,Доставлен,Уфа,1550
8,2026-01-21,7,1,4629,Отменен,Санкт-Петербург,6989
9,2025-12-19,5,1,3186,Доставлен,Красноярск,1701
10,2025-12-09,13,1,1993,Доставлен,Самара,5876
11,2025-11-18,13,1,1993,Доставлен,Екатеринбург,3943
12,2025-10-03,38,1,3084,Доставлен,Краснодар,3622
13,2025-12-02,22,2,4154,Доставлен,Челябинск,2731
14,2025-09-21,5,2,3186,Доставлен,Воронеж,6212
15,2026-01-30,44,3,3084,Доставлен,Екатеринбург,1023
16,2026-01-17,35,1,2770,Доставлен,Казань,7573
17,2025-11-28,7,2,4629,Доставлен,Красноярск,2923
18,2026-01-19,18,2,5679,Доставлен,Краснодар,4676
19,2025-12-06,7,2,4629,Доставлен,Казань,5431
20,2026-01-26,16,1,5989,Доставлен,Челябинск,6911
21,2026-01-07,5,1,3186,Доставлен,Краснодар,7546
22,2025-09-16,6,1,4057,Доставлен,Красноярск,8477
23,2025-11-29,8,3,5626,Отменен,Нижний Новгород,1335
24,2026-01-21,93,1,1449,Доставлен,Краснодар,2283
25,2025-11-02,49,1,3595,Доставлен,Челябинск,4242
26,2026-01-23,8,2,5626,Доставлен,Санкт-Петербург,1642
27,2025-10-05,89,3,1908,Доставлен,Краснодар,3274
28,2025-11-09,4,2,2644,Доставлен,Нижний Новгород,9121
29,2025-08-26,76,3,1917,Доставлен,Екатеринбург,3267
30,2026-01-27,77,1,3004,Доставлен,Воронеж,6399
31,2026-01-07,90,2,631,Доставлен,Волгоград,8117
32,2025-11-16,10,1,3580,Доставлен,Красноярск,3870
33,2025-11-09,16,3,5989,Доставлен,Москва,5272
34,2025-11-25,50,2,5554,Доставлен,Краснодар,9067
35,2026-01-09,19,3,3490,Доставлен,Екатеринбург,6303
36,2026-01-08,100,1,5038,Доставлен,Новосибирск,7084
37,2026-01-24,8,1,5626,Доставлен,Новосибирск,5038
38,2025-10-13,19,1,3490,Доставлен,Волгоград,7582
39,2025-09-30,90,2,631,Возврат,Москва,7577
40,2025-08-18,21,1,2757,Возврат,Нижний Новгород,6739
41,2025-12-25,53,1,4176,Доставлен,Краснодар,8847
42,2025-10-07,70,3,2463,Доставлен,Москва,8616
43,2025-09-15,78,3,1032,Доставлен,Казань,3058
44,2025-11-12,5,3,3186,Возврат,Красноярск,8638
45,2025-10-01,98,2,1615,Доставлен,Краснодар,5588
46,2025-09-10,78,2,1032,Доставлен,Уфа,2256
47,2025-12-27,90,2,631,Доставлен,Ростов-на-Дону,5544
48,2025-09-28,66,1,2934,Доставлен,Пермь,2246
49,2025-10-20,79,3,3807,Доставлен,Челябинск,9953
50,2026-02-01,19,3,3490,Доставлен,Челябинск,5981
51,2026-01-30,16,2,5989,Доставлен,Екатеринбург,3721
52,2026-02-09,13,3,1993,Доставлен,Екатеринбург,9543
53,2025-08-31,82,1,1050,Доставлен,Санкт-Петербург,1546
54,2025-11-21,2,3,4096,Отменен,Казань,5014
55,2025-11-23,8,1,5626,Отменен,Нижний Новгород,1723
56,2026-01-02,29,2,1382,Отменен,Самара,5270
57,2025-10-04,41,2,682,Доставлен,Волгоград,6412
58,2025-11-30,18,3,5679,Доставлен,Екатеринбург,1932
59,2025-09-25,51,1,4443,Доставлен,Москва,6298
60,2025-08-17,83,3,4161,Доставлен,Екатеринбург,1267
61,2025-10-21,97,3,1371,Отменен,Казань,3592
62,2025-11-28,98,2,1615,Доставлен,Челябинск,1096
63,2025-11-21,52,1,723,Отменен,Екатеринбург,7180
64,2026-01-11,10,1,3580,Доставлен,Москва,6250
65,2025-09-16,16,1,5989,Доставлен,Уфа,2742
66,2025-11-23,84,2,4813,Доставлен,Самара,4775
67,2025-11-14,86,2,3764,Доставлен,Уфа,9435
68,2025-10-18,4,1,2644,Отменен,Самара,5029
69,2025-10-30,84,2,4813,Доставлен,Уфа,4534
70,2025-11-15,93,2,1449,Доставлен,Санкт-Петербург,3653
71,2025-10-31,68,2,2716,Доставлен,Екатеринбург,5979
72,2025-09-10,46,3,2061,Доставлен,Самара,7421
73,2025-09-10,57,3,1833,Возврат,Новосибирск,1791
74,2026-01-11,14,1,1969,Доставлен,Санкт-Петербург,4461
75,2025-11-08,18,1,5679,Доставлен,Екатеринбург,2080
76,2025-11-02,73,3,3578,Доставлен,Новосибирск,7008
77,2025-11-30,84,3,4813,Доставлен,Нижний Новгород,2850
78,2025-10-26,11,2,3409,Доставлен,Самара,4829
79,2025-11-10,79,3,3807,Доставлен,Воронеж,6426
80,2025-10-22,44,1,3084,Доставлен,Волгоград,6761
81,2025-10-19,26,2,5521,Возврат,Челябинск,1139
82,2025-09-15,86,2,3764,Доставлен,Казань,8656
83,2025-08-17,28,3,2911,Доставлен,Челябинск,4426
84,2025-10-04,18,2,5679,Доставлен,Санкт-Петербург,3662
85,2025-08-30,23,1,816,Доставлен,Челябинск,5800
86,2025-11-07,8,3,5626,Доставлен,Пермь,5524
87,2025-12-04,14,2,1969,Доставлен,Уфа,9583
88,2025-11-13,15,1,5893,Доставлен,Пермь,7184
89,2026-01-25,20,2,2616,Доставлен,Пермь,9947
90,2026-01-17,77,1,3004,Доставлен,Нижний Новгород,1959
91,2025-12-02,98,2,1615,Доставлен,Краснодар,6306
92,2025-08-17,78,1,1032,Доставлен,Самара,4773
93,2025-09-03,54,1,1567,Доставлен,Красноярск,5881
94,2025-09-09,66,1,2934,Доставлен,Волгоград,2326
95,2025-11-26,64,1,3932,Доставлен,Москва,5086
96,2025-11-20,1,2,4743,Доставлен,Краснодар,3671
97,2025-09-09,22,2,4154,Доставлен,Волгоград,4090
98,2025-10-18,69,1,4756,Доставлен,Екатеринбург,1885
99,2025-08-15,34,2,3781,Отменен,Красноярск,1229
100,2025-11-01,13,1,1993,Доставлен,Краснодар,9426
101,2026-01-01,17,2,2757,Доставлен,Казань,5082
102,2025-09-03,41,1,682,Доставлен,Уфа,4012
103,2026-01-12,12,1,5511,Доставлен,Волгоград,9824
104,2025-11-20,4,2,2644,Доставлен,Екатеринбург,6278
105,2025-11-17,18,3,5679,Доставлен,Уфа,3084
106,2025-11-16,17,3,2757,Доставлен,Волгоград,8977
107,2026-01-11,6,2,4057,Отменен,Волгоград,6236
108,2025-11-12,12,2,5511,Доставлен,Нижний Новгород,5416
109,2026-01-24,9,2,694,Доставлен,Самара,4576
110,2026-01-15,85,1,2629,Доставлен,Самара,8774
111,2025-10-10,13,1,1993,Доставлен,Уфа,5695
112,2025-10-01,40,3,636,Доставлен,Санкт-Петербург,5305
113,2025-12-15,11,2,3409,Доставлен,Краснодар,3826
114,2025-11-15,96,1,1336,Доставлен,Самара,4360
115,2025-11-20,18,1,5679,Доставлен,Новосибирск,1249
116,2025-08-22,64,1,3932,Доставлен,Самара,9171
